TAC,Manufacturer,Model,HW-Type,OS,Year
01166100,Samsung,SGH-T109,,,
01166200,Samsung,SGH-A137,,,
01166201,Samsung,SGH-A137,,,
01166400,Nokia,2610b,,,
01166500,LG,MU575,,,
01166600,LG,Electronics,,,
01166700,Nokia,2600c-2b,,,
01167100,Nokia,Nokia,,,
01167200,Nokia,1680cb,,,
01167300,Nokia,2610b,,,
01167700,LG,Electronics,,,
01167900,LG,Electronics,,,
01168000,Nokia,1680cb,,,
01168100,Nokia,1680cb,,,
01168400,Nokia,Nokia,,,
01168500,Hop-On,Hop-On,,,
01169200,LG,LG,,,
01169600,LG,Electronics,,,
01169700,Motorola,W156,,,
01169900,Sony,Ericsson,,,
01170000,Nokia,1208b,,,
01170100,Nokia,1200b,,,
01170200,Motorola,W156,,,
